time 	 p1 	 p2 	 dp
1588972689	0.032613	0.010456	-0.022157
1588972689	0.012448	0.000747	-0.011701
1588972689	0.004979	-0.013444	-0.018423
1588972689	0.001494	-0.015435	-0.016929
1588972689	-0.003983	-0.014439	-0.010456
1588972689	0.040082	-0.006971	-0.047053
1588972689	0.022655	-0.012697	-0.035352
1588972689	0.00946	-0.024149	-0.033609
1588972689	0.009709	-0.01419	-0.0239
1588972690	0.016929	-0.025891	-0.04282
1588972690	0.035601	0.002987	-0.032613
1588972690	0.032364	-0.009211	-0.041575
1588972690	0.013941	-0.015684	-0.029626
1588972690	0.026638	-0.011452	-0.03809
1588972690	0.030373	-0.002241	-0.032613
1588972690	0.027136	-0.004979	-0.032115
1588972690	0.025393	-0.018174	-0.043567
1588972690	0.029626	-0.020663	-0.050289
1588972690	0.016929	-0.006971	-0.0239
1588972691	0.032862	-0.006971	-0.039833
1588972691	0.037841	0.004232	-0.033609
1588972691	0.044812	-0.008713	-0.053525
1588972691	0.024149	0.005726	-0.018423
1588972691	0.023651	0.008464	-0.015186
1588972691	0.049293	-0.008962	-0.058255
1588972691	0.026638	0.013195	-0.013444
1588972691	0.025393	-0.000498	-0.025891
1588972691	0.031617	-0.011452	-0.043069
1588972691	0.028132	0.007967	-0.020165
1588972692	0.022406	-0.012697	-0.035103
1588972692	0.028381	-0.008713	-0.037094
1588972692	0.003734	0.007718	0.003983
1588972692	0.010456	0.006224	-0.004232
1588972692	0.004481	0.01195	0.007469
1588972692	0.036347	-0.005228	-0.041575
1588972692	0.029128	0.012697	-0.016431
1588972692	0.041824	-0.005477	-0.047301
1588972692	0.0239	-0.023402	-0.047301
1588972692	0.048546	0.017427	-0.031119
1588972693	0.025393	-0.004481	-0.029875
1588972693	0.034356	-0.001245	-0.035601
1588972693	0.047301	-0.000996	-0.048297
1588972693	0.027634	-0.00249	-0.030124
1588972693	0.04531	-0.013444	-0.058753
1588972693	0.029626	-0.014937	-0.044563
1588972693	0.04755	-0.024896	-0.072446
1588972693	0.053027	-0.017925	-0.070952
1588972693	0.025642	-0.010207	-0.03585
1588972693	0.039335	0.001743	-0.037592
1588972694	0.040829	-0.013195	-0.054023
1588972694	0.05253	-0.007967	-0.060496
1588972694	0.03809	-0.002739	-0.040829
1588972694	0.060994	-0.006722	-0.067716
1588972694	0.036845	0.007967	-0.028879
1588972694	0.018423	-0.022406	-0.040829
1588972694	0.024647	-0.008713	-0.03336
1588972694	0.018423	-0.005228	-0.023651
1588972694	0.014937	-0.009958	-0.024896
1588972694	0.027136	-0.006473	-0.033609
1588972695	0.037592	0.003236	-0.034356
1588972695	0.025144	-0.003983	-0.029128
1588972695	0.03336	0.01195	-0.02141
1588972695	0.020912	-0.002987	-0.0239
1588972695	0.025642	-0.01917	-0.044812
1588972695	0.025393	0.013444	-0.01195
1588972695	0.012199	-0.01195	-0.024149
1588972695	0.036845	0.001992	-0.034854
1588972695	0.031368	0.01668	-0.014688
1588972695	0.024647	0.004979	-0.019667
1588972696	0.027136	0.000996	-0.02614
1588972696	0.026638	0.017925	-0.008713
1588972696	0.054023	0.005726	-0.048297
1588972696	0.049791	0.022655	-0.027136
1588972696	0.032613	0.009211	-0.023402
1588972696	0.032115	0.015684	-0.016431
1588972696	0.039086	-0.008464	-0.04755
1588972696	0.048048	0.000996	-0.047053
1588972696	0.045061	-0.012448	-0.057509
1588972696	0.043069	0.001743	-0.041327
1588972697	0.029875	0.009709	-0.020165
1588972697	0.027634	0.008713	-0.018921
1588972697	-0.012946	0.007967	0.020912
1588972697	0.036347	0.018672	-0.017676
1588972697	0.029377	0.016929	-0.012448
1588972697	0.033609	0.022655	-0.010954
1588972697	0.04282	0.010207	-0.032613
1588972697	0.019916	0.012946	-0.006971
1588972697	0.049791	0.022904	-0.026887
1588972697	0.045808	0.040331	-0.005477
1588972698	0.076927	0.024896	-0.052032
1588972698	0.041327	0.01917	-0.022157
1588972698	0.051783	0.009211	-0.042571
1588972698	0.062488	0.022157	-0.040331
1588972698	0.052281	0.026638	-0.025642
1588972698	0.075931	0.036845	-0.039086
1588972698	0.072944	0.014937	-0.058007
1588972698	0.055019	0.018174	-0.036845
1588972698	0.059251	0.021161	-0.03809
1588972698	0.060247	0.025144	-0.035103
1588972699	0.075184	0.012199	-0.062986
1588972699	0.049542	0.027385	-0.022157
1588972699	0.057011	0.033111	-0.0239
1588972699	0.06199	0.0595	-0.00249
1588972699	0.057509	0.033858	-0.023651
1588972699	0.074935	0.040082	-0.034854
1588972699	0.066222	0.043816	-0.022406
1588972699	0.072197	0.011452	-0.060745
