ASL 3.4 .dta ASCII
The format of this file is tab delimited text.  Each entry is 12 characters wide and padded with spaces.
Breath_Number	Compressed_Volume_mL	Airway_Pressure_cmH2O	Muscle_Pressure_cmH2O	Total_Volume_mL	Total_Flow_L/m	Chamber_1_Pressure_cmH2O	Chamber_2_Pressure_cmH2O	Chamber_1_Volume_mL	Chamber_2_Volume_mL	Chamber_1_Flow_L/min	Chamber_2_Flow_L/min	Tracheal_Pressure_cmH2O	Ventilator_Volume_mL	Ventilator_Flow_L/min	Ventilator_Pressure_cmH2O

+0.00000E+0 	+1.65205E+0 	+2.34760E+0 	+7.62951E-4 	+0.00000E+0 	+2.30420E+1 	+8.09973E-4 	+8.09973E-4 	+1.19209E-3 	+1.19209E-3 	+3.00161E+2 	-2.74243E+2 	+8.09973E-4 	+0.00000E+0 	+2.30420E+1 	+2.34760E+0
+0.00000E+0 	+1.62252E+0 	+2.30564E+0 	+7.62951E-4 	+0.00000E+0 	+1.64396E+1 	+3.10817E-3 	+3.10817E-3 	+5.94556E-2 	+5.94556E-2 	+1.55877E+2 	-1.37178E+2 	+3.10817E-3 	+0.00000E+0 	+1.64396E+1 	+2.30564E+0
+0.00000E+0 	+1.59302E+0 	+2.26368E+0 	+7.62951E-4 	+1.60543E+0 	+9.83727E+0 	+6.01255E-1 	-5.27606E-1 	+1.52236E+1 	-1.33951E+1 	+1.15939E+1 	-1.13261E-1 	+3.68245E-2 	+1.60543E+0 	+9.83727E+0 	+2.26368E+0
+0.00000E+0 	+1.51277E+0 	+2.14945E+0 	+7.62951E-4 	+1.58725E+0 	+8.07802E+0 	+1.48685E-1 	-7.36050E-2 	+3.75010E+0 	-1.88537E+0 	+6.08692E+0 	+3.44843E+0 	+3.75400E-2 	+1.58725E+0 	+8.07802E+0 	+2.14945E+0
+0.00000E+0 	+1.40249E+0 	+1.99240E+0 	+7.62951E-4 	+1.60112E+0 	+7.56344E+0 	+7.52437E-2 	+8.28314E-5 	+1.88822E+0 	-1.72423E-2 	+4.52453E+0 	+3.88439E+0 	+3.76632E-2 	+1.60112E+0 	+7.56344E+0 	+1.99240E+0
+0.00000E+0 	+1.28302E+0 	+1.82214E+0 	+7.62951E-4 	+1.69269E+0 	+7.25364E+0 	+6.02874E-2 	+2.06597E-2 	+1.50905E+0 	+5.04420E-1 	+3.97831E+0 	+3.79780E+0 	+4.04736E-2 	+1.69269E+0 	+7.25364E+0 	+1.82214E+0
+0.00000E+0 	+1.18274E+0 	+1.67912E+0 	+7.62951E-4 	+1.84069E+0 	+7.72322E+0 	+5.55197E-2 	+3.18048E-2 	+1.38819E+0 	+7.86967E-1 	+4.15152E+0 	+4.04420E+0 	+4.36622E-2 	+1.84069E+0 	+7.72322E+0 	+1.67912E+0
+0.00000E+0 	+1.07312E+0 	+1.52285E+0 	+7.62951E-4 	+2.02902E+0 	+8.21607E+0 	+5.32755E-2 	+4.00583E-2 	+1.33129E+0 	+9.96211E-1 	+4.18648E+0 	+4.12668E+0 	+4.66669E-2 	+2.02902E+0 	+8.21607E+0 	+1.52285E+0
+0.00000E+0 	+9.49592E-1 	+1.34696E+0 	+7.62951E-4 	+2.21585E+0 	+4.21402E+0 	+5.30959E-2 	+4.56984E-2 	+1.32674E+0 	+1.13920E+0 	-3.80042E+1 	+4.18969E+1 	+4.93971E-2 	+2.21585E+0 	+4.21402E+0 	+1.34696E+0
